GENE,PHENOTYPES,RANK,SCORE
ABCG8,"HP:0001878,HP:0002904,HP:0011877,HP:0001923,HP:0001744,HP:0004446",1,-25.352184295654297
ABCG8,"HP:0001263,HP:0003124",8,-11.403583526611328
ABCG8,"HP:0001878,HP:0002904,HP:0011877,HP:0001923,HP:0001744,HP:0004446",1,-25.352184295654297
ABCG8,"HP:0012397,HP:0000991,HP:0001677",5,-15.760185241699219
ABCG8,"HP:0010874,HP:0000991",7,-8.306480407714844
ABCG8,"HP:0002829,HP:0001878,HP:0001399,HP:0001513,HP:0001744,HP:0001873",1,-28.488088607788086
ABCG8,"HP:0001878,HP:0002904,HP:0011877,HP:0001923,HP:0001744,HP:0004446",1,-25.35218620300293
ABCG8,"HP:0001081,HP:0002910,HP:0001744,HP:0001114",1,-21.92629623413086
ABCG8,HP:0001681,13,-8.137311935424805
ABHD12,"HP:0000518,HP:0011474,HP:0000408,HP:0000510,HP:0002321",2,-20.629053115844727
ABHD12,"HP:0002345,HP:0003487,HP:0001272,HP:0002460,HP:0001260,HP:0001310,HP:0002066,HP:0000666,HP:0002070,HP:0001315",2,-31.71573829650879
ABHD12,"HP:0001251,HP:0007220,HP:0011402,HP:0000519,HP:0007178,HP:0000763,HP:0008625",1,-28.030174255371094
ABHD12,"HP:0000496,HP:0001251,HP:0000518,HP:0001272,HP:0002936,HP:0001260,HP:0002066,HP:0001765,HP:0002378,HP:0009830,HP:0001761,HP:0000510,HP:0000407,HP:0001257",1,-35.80095291137695
ABHD12,"HP:0003438,HP:0000518,HP:0002936,HP:0001761,HP:0001271,HP:0000510,HP:0000407",1,-27.024675369262695
ABHD12,"HP:0008615,HP:0000518,HP:0000408,HP:0000510",2,-20.25699234008789
ACAD8,HP:0045045,1,-4.903420448303223
ACAD8,HP:0045045,1,-4.903420925140381
ACAD8,"HP:0001943,HP:0001942,HP:0004396,HP:0002013",1,-14.071836471557617
ACAD8,"HP:0001944,HP:0045045,HP:0000388,HP:0031123,HP:0002013",1,-20.95543670654297
ACAD8,"HP:0001638,HP:0001642",4,-8.814284324645996
ACAD8,HP:0045045,1,-4.903420448303223
ACAD8,HP:0045045,1,-4.903420925140381
ACAD8,"HP:0001252,HP:0011342",6,-8.222798347473145
ACAD8,HP:0045045,1,-4.903420925140381
ACAD8,"HP:0002572,HP:0008872,HP:0002248,HP:0008947",1,-21.764970779418945
ACAD8,HP:0045045,1,-4.9034223556518555
ACAD8,"HP:0000750,HP:0001254,HP:0410018",1,-16.966787338256836
ACAD8,HP:0045045,1,-4.903421878814697
